Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Dead time t / %
251.001,21,251,251,22.206625768724,696.109375,0.155446380381068
252,29,252,252,7.00645083928773,696.109375,0.0490451558750141
253,18,253,253,9.998680174217,696.109375,0.069990761219519
254.001,10,254,254,15.9845317686075,696.109375,0.111891722380253
255.001,19,255,255,17.0125876135753,696.109375,0.119088113295027
256,15,256,256,19.971861865727,696.109375,0.139803033060089
257,20,257,257,18.9946776913109,696.109375,0.132962743839176
258,15,258,258,22.0126925185062,696.109375,0.154088847629543
259,14,259,259,9.97733703322553,696.109375,0.0698413592325787
260.001,19,260,260,15.0044157995698,696.109375,0.105030910596989
261,14,261,261,9.99271752952487,696.109375,0.0699490227066741
261.999,13,262,262,14.0363428990342,696.109375,0.0982544002932393
263,9,263,263,24.9900015003997,696.109375,0.174930010502798
264,11,264,264,6.66538839329258,696.109375,0.046657718753048
265.001,12,265,265,22.986130169056,696.109375,0.160902911183392
266.001,11,266,266,17.7762845698739,696.109375,0.124433991989117
267.001,14,267,267,18.9990215503902,696.109375,0.132993150852731
268.001,11,268,268,18.0006678247763,696.109375,0.126004674773434
269.001,10,269,269,19.0003097050482,696.109375,0.133002167935337
270.001,17,270,270,11.1103691853466,696.109375,0.0777725842974264
271,13,271,271,15.9834890558054,696.109375,0.111884423390637
272,11,272,272,19.0183374809992,696.109375,0.133128362366994
273,14,273,273,17.7717531534588,696.109375,0.124402272074211
274,19,274,274,13.9930076940553,696.109375,0.097951053858387
275.001,13,275,275,11.1107086565531,696.109375,0.0777749605958717
276,13,276,276,21.100019534176,696.109375,0.147700136739232
277,14,277,277,17.0345716631904,696.109375,0.119242001642333
278.001,10,278,278,16.6507910624326,696.109375,0.116555537437028
279.001,10,279,279,11.0990846362919,695.721354166667,0.0776935924540431
280.001,8,280,280,22.0300070726336,695.333333333333,0.154210049508435
281.001,9,281,281,25.0250024799777,696.109375,0.175175017359844
282,12,282,282,12.212488868594,696.109375,0.0854874220801577
283,10,283,283,16.0067580532501,698.049479166667,0.112047306372751
284.001,14,284,284,14.438837362602,696.497395833333,0.101071861538214
285,17,285,285,13.3028402672541,696.497395833333,0.0931198818707784
286.001,15,286,286,8.02533679078218,696.109375,0.0561773575354752
287.001,13,287,287,26.6411799378595,696.109375,0.186488259565016
288.001,8,288,288,26.6295362166686,696.497395833333,0.18640675351668
289.001,10,289,289,13.331104076485,696.109375,0.0933177285353949
290.001,5,290,290,11.0019528466303,696.109375,0.0770136699264119
291.001,18,291,291,14.4407524254077,696.497395833333,0.101085266977854
292,7,292,292,18.0204261530445,696.109375,0.126142983071311
293.001,4,293,293,16.6592681006002,696.109375,0.116614876704201
294.001,18,294,294,13.3311544302037,696.109375,0.0933180810114258
295,7,295,295,23.3077052165752,696.109375,0.163153936516026
296.001,8,296,296,15.0080683375383,696.109375,0.105056478362768
297.001,14,297,297,26.9654814871483,696.109375,0.188758370410038
298,12,298,298,11.0205654772371,696.109375,0.0771439583406595
299.001,9,299,299,12.1942337459456,696.109375,0.0853596362216189
300,12,300,300,16.0333557933926,696.109375,0.112233490553748
301,15,301,301,14.4358823622167,695.721354166667,0.101051176535517
302,19,302,302,10.9891559009569,696.109375,0.0769240913066985
302.999,15,303,303,17.026476170445,696.109375,0.119185333193115
304,8,304,304,15.9867246238723,696.109375,0.111907072367106
305.001,8,305,305,15.5487866504337,696.109375,0.108841506553036
306.001,13,306,306,15.0516346326072,696.109375,0.10536144242825
307.001,1,307,307,11.0878524925326,696.109375,0.0776149674477283
308.001,13,308,308,22.2089536062732,696.109375,0.155462675243913
309.001,3,309,309,19.9881909767709,697.661458333333,0.139917336837396
310.001,12,310,310,18.9861002759879,696.109375,0.132902701931916
311,13,311,311,15.0221110452475,696.109375,0.105154777316732
312,4,312,312,19.9851576895559,696.109375,0.139896103826891
313.001,14,313,313,18.8694931465446,696.109375,0.132086452025812
314.001,12,314,314,21.1029231769185,696.109375,0.147720462238429
315.001,12,315,315,10.0032030256088,696.109375,0.0700224211792616
316,13,316,316,18.0225317692179,696.109375,0.126157722384525
317.001,9,317,317,16.6505396939431,696.109375,0.116553777857602
318,12,318,318,13.0307029422726,696.109375,0.0912149205959081
319,13,319,319,8.88390896436387,696.109375,0.0621873627505471
320,7,320,320,18.881181171153,696.109375,0.132168268198071
321,5,321,321,14.9915822265798,696.109375,0.104941075586058
322.001,12,322,322,10.9972462895291,696.109375,0.0769807240267037
323.003,13,323,323,21.0534209503193,696.497395833333,0.147373946652235
324,11,324,324,13.317951099813,696.109375,0.0932256576986913
325,7,325,325,17.7722506078387,696.109375,0.124405754254871
326,14,326,326,20.9906486660193,696.109375,0.146934540662135
327.001,5,327,327,16.6551450074648,696.109375,0.116586015052254
328.001,10,328,328,12.0190923281633,696.109375,0.084133646297143
329.001,7,329,329,15.5531344509594,696.109375,0.108871941156715
330,13,330,330,14.4322235582514,696.109375,0.10102556490776
331,10,331,331,12.2167179120963,696.109375,0.0855170253846739
332.001,8,332,332,12.2158048527396,696.109375,0.0855106339691771
333,11,333,333,17.0376617513013,696.109375,0.119263632259109
334.001,11,334,334,24.4154578702951,694.9453125,0.170908205092066
335,8,335,335,22.2102434975625,696.109375,0.155471704482938
336.001,9,336,336,21.0046210166237,696.109375,0.147032347116366
337.001,11,337,337,23.3170968615521,696.109375,0.163219678030865
338,7,338,338,25.9832200365004,696.109375,0.181882540255503
339.001,7,339,339,15.0228542681982,696.109375,0.105159979877387
340.001,7,340,340,12.0083950689927,696.109375,0.0840587654829491
341.001,10,341,341,19.9602281365364,696.109375,0.139721596955755
342,10,342,342,14.9924782736501,696.109375,0.104947347915551
343.001,8,343,343,17.0231736462847,696.109375,0.119162215523993
344,3,344,344,9.99335441931116,696.109375,0.0699534809351781
345.001,8,345,345,9.01190382376081,696.109375,0.0630833267663256
346.001,13,346,346,21.0996633715285,696.497395833333,0.1476976436007
347.001,11,347,347,13.9798927203004,696.109375,0.0978592490421027
348.001,7,348,348,13.0188825873046,696.109375,0.0911321781111324
349,12,349,349,7.99992480070687,696.109375,0.0559994736049481
350,5,350,350,19.9876496312928,696.109375,0.13991354741905
351.001,9,351,351,19.9874722965306,696.109375,0.139912306075714
352,8,352,352,13.0400315929873,696.109375,0.0912802211509112
353.001,12,353,353,8.86993088993347,696.109375,0.0620895162295343
354.001,12,354,354,15.5341667339814,696.109375,0.10873916713787
355,6,355,355,9.0014240252808,696.109375,0.0630099681769656
356.001,7,356,356,15.0155786628627,696.109375,0.105109050640039
357,7,357,357,20.9892786764521,696.109375,0.146924950735164
358.001,7,358,358,19.9953388643403,696.109375,0.139967372050382
359.001,14,359,359,13.9904724882355,696.109375,0.0979333074176486
360,5,360,360,17.0363589973722,696.109375,0.119254512981605
361.001,5,361,361,12.2051648263127,696.109375,0.0854361537841892
362,13,362,362,14.4300160317478,696.109375,0.101010112222235
363.001,11,363,363,7.99856265829031,696.109375,0.0559899386080321
364,10,364,364,12.0417692851193,696.109375,0.0842923849958351
365,6,365,365,9.97697093397972,696.109375,0.0698387965378581
366.001,8,366,366,12.2209566742644,696.109375,0.0855466967198508
367,13,367,367,19.0171477621371,696.109375,0.13312003433496
368.001,11,368,368,15.5416406066657,696.109375,0.10879148424666
368.999,7,369,369,11.0997585247533,697.661458333333,0.0776983096732731
370.001,11,370,370,13.3326578120042,696.109375,0.0933286046840293
371,4,371,371,17.0183270363855,696.109375,0.119128289254698
372.001,5,372,372,9.00208938494625,696.109375,0.0630146256946237
373,12,373,373,16.9670008799885,696.109375,0.11876900615992
374.001,3,374,374,11.0202066509151,696.109375,0.0771414465564058
375.001,9,375,375,18.0020792401522,696.109375,0.126014554681066
376.001,7,376,376,6.66171479200461,696.109375,0.0466320035440323
377.001,10,377,377,9.98716981584325,696.109375,0.0699101887109027
378,4,378,378,9.01021037039173,696.109375,0.0630714725927421
379,15,379,379,14.0086727693115,696.109375,0.0980607093851804
379.999,8,380,380,11.0242146875612,696.109375,0.0771695028129286
381.001,6,381,381,11.0930860787982,696.109375,0.0776516025515873
382.001,10,382,382,14.4274361003306,696.109375,0.100992052702314
383.001,8,383,383,8.88072257111128,696.109375,0.0621650579977789
383.999,8,384,384,15.0323104480771,696.109375,0.10522617313654
385,14,385,385,15.5171144905909,696.109375,0.108619801434136
386.001,6,386,386,11.9969779612516,696.109375,0.0839788457287609
387,3,387,387,13.0237983867922,696.109375,0.0911665887075453
388.001,6,388,388,18.8838154371414,696.109375,0.13218670805999
388.999,7,389,389,16.0062664533165,696.109375,0.112043865173215
