Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V
,1,795,795,
,2,796,796,
,4,797,797,
,0,798,798,
,0,799,799,
,0,800,800,
,2,801,801,
,2,802,802,
,0,803,803,
,0,804,804,
,3,805,805,
,2,806,806,
,3,807,807,
,4,808,808,
,1,809,809,
,2,810,810,
,2,811,811,
,0,812,812,
,2,813,813,
,0,814,814,
,4,815,815,
,1,816,816,
,1,817,817,
,3,818,818,
,0,819,819,
,1,820,820,
,7,821,821,
,1,822,822,
,3,823,823,
,1,824,824,
,1,825,825,
,3,826,826,
,2,827,827,
,1,828,828,
,2,829,829,
,1,830,830,
,3,831,831,
,3,832,832,
,0,833,833,
,3,834,834,
,5,835,835,
,2,836,836,
,0,837,837,
,3,838,838,
,4,839,839,
,2,840,840,
,3,841,841,
,4,842,842,
,1,843,843,
,1,844,844,
,3,845,845,
,1,846,846,
,2,847,847,
,2,848,848,
,0,849,849,
,1,850,850,
,2,851,851,
,5,852,852,
,3,853,853,
,1,854,854,
,2,855,855,
,0,856,856,
,2,857,857,
,3,858,858,
,1,859,859,
,1,860,860,
,1,861,861,
,0,862,862,
,2,863,863,
,4,864,864,
,0,865,865,
,0,866,866,
,0,867,867,
,3,868,868,
,3,869,869,
,4,870,870,
,2,871,871,
,3,872,872,
,0,873,873,
,2,874,874,
,4,875,875,
,2,876,876,
,2,877,877,
,2,878,878,
,3,879,879,
,1,880,880,
,3,881,881,
,2,882,882,
,0,883,883,
,1,884,884,
,3,885,885,
,3,886,886,
,1,887,887,
,1,888,888,
,1,889,889,
,0,890,890,
,1,891,891,
,1,892,892,
,0,893,893,
,1,894,894,
,2,895,895,
,4,896,896,
,3,897,897,
,0,898,898,
,2,899,899,
,4,900,900,
,2,901,901,
,4,902,902,
,2,903,903,
,2,904,904,
,0,905,905,
,2,906,906,
,2,907,907,
,0,908,908,
,4,909,909,
,1,910,910,
,2,911,911,
,4,912,912,
,2,913,913,
,3,914,914,
,0,915,915,
,2,916,916,
,0,917,917,
,2,918,918,
,3,919,919,
,4,920,920,
,1,921,921,
,2,922,922,
,0,923,923,
,0,924,924,
,1,925,925,
,2,926,926,
,1,927,927,
,2,928,928,
,1,929,929,
,3,930,930,
,2,931,931,
,3,932,932,
,0,933,933,
,2,934,934,
,2,935,935,
,2,936,936,
,0,937,937,
,3,938,938,
,2,939,939,
,5,940,940,
,2,941,941,
,0,942,942,
,2,943,943,
,2,944,944,
,0,945,945,
,1,946,946,
,7,947,947,
,1,948,948,
,1,949,949,
,2,950,950,
,2,951,951,
,1,952,952,
,0,953,953,
,1,954,954,
,2,955,955,
,0,956,956,
,1,957,957,
,1,958,958,
,4,959,959,
,2,960,960,
,0,961,961,
,4,962,962,
,1,963,963,
,1,964,964,
,3,965,965,
,4,966,966,
,1,967,967,
,1,968,968,
,2,969,969,
,0,970,970,
,5,971,971,
,2,972,972,
,3,973,973,
,1,974,974,
,2,975,975,
,0,976,976,
,2,977,977,
,1,978,978,
,3,979,979,
,1,980,980,
,2,981,981,
,1,982,982,
,2,983,983,
,1,984,984,
,2,985,985,
,3,986,986,
,1,987,987,
,0,988,988,
,1,989,989,
,2,990,990,
,3,991,991,
,2,992,992,
,0,993,993,
,3,994,994,
,2,995,995,
,2,996,996,
,1,997,997,
,1,998,998,
,2,999,999,
,2,1000,1000,
,2,1001,1001,
,0,1002,1002,
,0,1003,1003,
,3,1004,1004,
,1,1005,1005,
,3,1006,1006,
,0,1007,1007,
,2,1008,1008,
,2,1009,1009,
,2,1010,1010,
,4,1011,1011,
,1,1012,1012,
,2,1013,1013,
,0,1014,1014,
,0,1015,1015,
,1,1016,1016,
,3,1017,1017,
,1,1018,1018,
,0,1019,1019,
,1,1020,1020,
,1,1021,1021,
,0,1022,1022,
,3,1023,1023,
,3,1024,1024,
,3,1025,1025,
,0,1026,1026,
,0,1027,1027,
,2,1028,1028,
,1,1029,1029,
,2,1030,1030,
,1,1031,1031,
,0,1032,1032,
,2,1033,1033,
,2,1034,1034,
,1,1035,1035,
,0,1036,1036,
,1,1037,1037,
,2,1038,1038,
,1,1039,1039,
,0,1040,1040,
,1,1041,1041,
,1,1042,1042,
,2,1043,1043,
,0,1044,1044,
,0,1045,1045,
,5,1046,1046,
,1,1047,1047,
,1,1048,1048,
,0,1049,1049,
,0,1050,1050,
,2,1051,1051,
,2,1052,1052,
,0,1053,1053,
,3,1054,1054,
,1,1055,1055,
,1,1056,1056,
,0,1057,1057,
,3,1058,1058,
,2,1059,1059,
,2,1060,1060,
,1,1061,1061,
,0,1062,1062,
,2,1063,1063,
,1,1064,1064,
,1,1065,1065,
,1,1066,1066,
,1,1067,1067,
,0,1068,1068,
,2,1069,1069,
,1,1070,1070,
,0,1071,1071,
,3,1072,1072,
,3,1073,1073,
,2,1074,1074,
,1,1075,1075,
,1,1076,1076,
,0,1077,1077,
,1,1078,1078,
,0,1079,1079,
,0,1080,1080,
,0,1081,1081,
,2,1082,1082,
,0,1083,1083,
,0,1084,1084,
,0,1085,1085,
,0,1086,1086,
,1,1087,1087,
,0,1088,1088,
,1,1089,1089,
,1,1090,1090,
,0,1091,1091,
,3,1092,1092,
,3,1093,1093,
,2,1094,1094,
,1,1095,1095,
,0,1096,1096,
,1,1097,1097,
,5,1098,1098,
,2,1099,1099,
,0,1100,1100,
,1,1101,1101,
,1,1102,1102,
,0,1103,1103,
,0,1104,1104,
,1,1105,1105,
,1,1106,1106,
,0,1107,1107,
,2,1108,1108,
,0,1109,1109,
,1,1110,1110,
,3,1111,1111,
,2,1112,1112,
,1,1113,1113,
,0,1114,1114,
,1,1115,1115,
,3,1116,1116,
,1,1117,1117,
,1,1118,1118,
,0,1119,1119,
,2,1120,1120,
,0,1121,1121,
,0,1122,1122,
,1,1123,1123,
,2,1124,1124,
,2,1125,1125,
,0,1126,1126,
,2,1127,1127,
,0,1128,1128,
,2,1129,1129,
,0,1130,1130,
,0,1131,1131,
,2,1132,1132,
,1,1133,1133,
,2,1134,1134,
,2,1135,1135,
,2,1136,1136,
,1,1137,1137,
,2,1138,1138,
,1,1139,1139,
,1,1140,1140,
,0,1141,1141,
,1,1142,1142,
,1,1143,1143,
,2,1144,1144,
,1,1145,1145,
,0,1146,1146,
,1,1147,1147,
,1,1148,1148,
,4,1149,1149,
,2,1150,1150,
,0,1151,1151,
,1,1152,1152,
,1,1153,1153,
,1,1154,1154,
,1,1155,1155,
,4,1156,1156,
,0,1157,1157,
,0,1158,1158,
,2,1159,1159,
,1,1160,1160,
,1,1161,1161,
,2,1162,1162,
,1,1163,1163,
,1,1164,1164,
,2,1165,1165,
,1,1166,1166,
,1,1167,1167,
,1,1168,1168,
,4,1169,1169,
,1,1170,1170,
,1,1171,1171,
,0,1172,1172,
,4,1173,1173,
,0,1174,1174,
,2,1175,1175,
,1,1176,1176,
,0,1177,1177,
,2,1178,1178,
,3,1179,1179,
,1,1180,1180,
,0,1181,1181,
,3,1182,1182,
,0,1183,1183,
,0,1184,1184,
,0,1185,1185,
,1,1186,1186,
,4,1187,1187,
,1,1188,1188,
,0,1189,1189,
,0,1190,1190,
,1,1191,1191,
,0,1192,1192,
,1,1193,1193,
,0,1194,1194,
,1,1195,1195,
,1,1196,1196,
,3,1197,1197,
,1,1198,1198,
,0,1199,1199,
,2,1200,1200,
,1,1201,1201,
,1,1202,1202,
,2,1203,1203,
,1,1204,1204,
,0,1205,1205,
