Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %
161.001,622,161,161,700.765625,883.603156061745,6.18522209243222
162.001,683,162,162,703.869791666667,922.264597713084,6.45585218399159
163.001,638,163,163,701.541666666667,779.457497581683,5.45620248307178
164,677,164,164,710.466145833333,848.563700866486,5.9399459060654
165.001,690,165,165,706.197916666667,912.599760562642,6.38819832393849
166.001,691,166,166,708.9140625,850.618617102625,5.95433031971837
167,639,167,167,705.809895833333,916.622661774143,6.416358632419
168,628,168,168,711.630208333333,883.587055239501,6.18510938667651
169,649,169,169,707.75,910.598747549157,6.3741912328441
170,584,170,170,703.481770833333,928.285447775191,6.49799813442634
171.001,714,171,171,705.809895833333,844.496732978338,5.91147713084837
172.001,682,172,172,710.466145833333,876.226175937121,6.13358323155985
173.001,634,173,173,714.734375,898.29786074921,6.28808502524447
174.001,656,174,174,712.018229166667,906.890838537688,6.34823586976382
175.001,674,175,175,703.481770833333,882.795752090935,6.17957026463654
176.001,639,176,176,710.078125,933.053106383716,6.53137174468601
177.001,649,177,177,702.317708333333,898.504384981244,6.28953069486871
178,657,178,178,713.182291666667,815.957978164125,5.71170584714887
179,708,179,179,710.078125,912.584000470725,6.38808800329507
180.001,658,180,180,706.197916666667,907.377523470203,6.35164266429142
181.001,632,181,181,703.09375,894.133584556565,6.25893509189595
182.001,678,182,182,704.2578125,844.848143050809,5.91393700135566
183,656,183,183,704.645833333333,950.300960314132,6.65210672219892
184,675,184,184,701.9296875,890.814560834427,6.23570192584099
185.002,671,185,185,705.033854166667,866.556325161263,6.06589427612884
186.001,688,186,186,705.033854166667,921.394502827182,6.44976151979028
187,693,187,187,705.421875,856.300561497085,5.9941039304796
188.001,704,188,188,707.361979166667,879.453886150642,6.1561772030545
189.001,691,189,189,706.973958333333,913.259257860196,6.39281480502137
190,710,190,190,711.630208333333,857.719340916475,6.00403538641532
191.001,683,191,191,707.361979166667,859.853566937551,6.01897496856285
192.001,763,192,192,705.033854166667,905.627146799158,6.33939002759411
193,699,193,193,705.809895833333,889.89890748411,6.22929235238877
194.001,705,194,194,706.973958333333,857.978636331955,6.00585045432369
195.001,753,195,195,707.361979166667,877.328822842802,6.14130175989961
196.001,713,196,196,703.09375,867.824525880867,6.07477168116607
197.001,764,197,197,712.794270833333,912.648137392849,6.38853696174994
198.001,780,198,198,709.690104166667,859.957476654507,6.01970233658155
199.001,723,199,199,705.809895833333,923.686200705465,6.46580340493826
200.001,714,200,200,709.302083333333,893.612788808993,6.25528952166295
201.001,745,201,201,706.5859375,922.286369917859,6.45600458942502
202.001,800,202,202,708.138020833333,873.259882140925,6.11281917498648
203.001,780,203,203,709.690104166667,866.602462031604,6.06621723422123
204,737,204,204,702.317708333333,884.934921197489,6.19454444838242
205.001,777,205,205,709.690104166667,905.076769944255,6.33553738960978
206.001,726,206,206,716.674479166667,869.576703269609,6.08703692288726
207.001,779,207,207,705.421875,888.991093885228,6.2229376571966
208.001,762,208,208,701.541666666667,886.047614733173,6.20233330313221
209.001,789,209,209,706.197916666667,882.605908956499,6.17824136269549
210,718,210,210,706.973958333333,901.14355116643,6.30800485816501
211,726,211,211,700.377604166667,927.520957530426,6.49264670271298
212.001,713,212,212,705.421875,890.371311481416,6.23259918036991
213.001,794,213,213,698.825520833333,840.627283407994,5.88439098385596
214,681,214,214,711.630208333333,843.532606487736,5.90472824541415
215.001,745,215,215,705.809895833333,890.091786585426,6.23064250609798
216,759,216,216,708.526041666667,891.983662942006,6.24388564059404
217.001,726,217,217,711.2421875,802.395821858923,5.61677075301246
218.001,790,218,218,700.377604166667,911.446882406444,6.38012817684511
219.001,719,219,219,702.317708333333,907.522189567193,6.35265532697035
220,731,220,220,708.9140625,892.476046723322,6.24733232706326
221.001,740,221,221,710.854166666667,865.588916947592,6.05912241863314
222.001,793,222,222,704.645833333333,835.607458067084,5.84925220646959
223.001,688,223,223,706.5859375,871.810607730645,6.10267425411451
224.001,704,224,224,707.75,873.199601612696,6.11239721128887
225,749,225,225,708.138020833333,896.614724652817,6.27630307256972
226,739,226,226,710.854166666667,852.151768330075,5.96506237831052
227,729,227,227,699.6015625,859.794413602436,6.01856089521705
228.001,713,228,228,710.466145833333,911.020110324535,6.37714077227175
229,735,229,229,709.302083333333,833.749190258568,5.83624433180997
230.001,743,230,230,704.2578125,957.427491374899,6.70199243962429
231,712,231,231,706.197916666667,893.044977700847,6.25131484390593
232.001,737,232,232,704.645833333333,925.171403829321,6.47619982680525
233,754,233,233,706.5859375,904.563351625837,6.33194346138086
234.001,687,234,234,705.421875,883.587982923563,6.18511588046494
234.999,740,235,235,700.765625,820.424636202631,5.74297245341842
236,718,236,236,706.5859375,893.198758053787,6.25239130637651
237.001,747,237,237,703.481770833333,822.999423900403,5.76099596730282
238,692,238,238,705.033854166667,868.265776154081,6.07786043307857
239.001,725,239,239,708.9140625,875.031925149329,6.1252234760453
240.001,662,240,240,711.2421875,872.908689556317,6.11036082689422
241,683,241,241,705.809895833333,807.198409369023,5.65038886558316
242,693,242,242,707.75,925.352744466191,6.47746921126333
243,725,243,243,710.466145833333,875.7737000759,6.1304159005313
244.001,704,244,244,706.973958333333,878.711343323718,6.15097940326603
245.001,728,245,245,705.421875,867.908951656872,6.0753626615981
246,671,246,246,702.317708333333,918.664436225553,6.43065105357887
247.001,703,247,247,706.973958333333,845.358516546868,5.91750961582807
248.001,760,248,248,706.973958333333,931.624636774656,6.52137245742259
249.001,697,249,249,707.75,891.753160060031,6.24227212042021
250,704,250,250,707.361979166667,877.753814976302,6.14427670483411
251.001,664,251,251,710.078125,891.820506629569,6.24274354640699
252,676,252,252,705.809895833333,879.954437914659,6.15968106540261
253.001,713,253,253,703.481770833333,901.883514857753,6.31318460400427
254.001,681,254,254,707.75,853.229533731041,5.97260673611729
255.001,672,255,255,711.2421875,905.969033096532,6.34178323167572
256,703,256,256,708.9140625,899.27449283857,6.29492144986999
257.001,691,257,257,702.705729166667,857.624453583798,6.00337117508659
258,667,258,258,708.9140625,880.146478803289,6.16102535162302
259,714,259,259,705.421875,875.823929419026,6.13076750593318
260.001,669,260,260,712.018229166667,956.656993801507,6.69659895661055
261.001,690,261,261,708.9140625,867.448216189682,6.07213751332777
262,680,262,262,706.197916666667,880.738842697137,6.16517189887996
263,631,263,263,704.2578125,854.394917519413,5.98076442263589
264.001,617,264,264,709.302083333333,898.410753396453,6.28887527377517
265.001,664,265,265,710.078125,857.186033685857,6.000302235801
266.001,647,266,266,709.302083333333,880.329769533441,6.16230838673409
267,639,267,267,710.854166666667,840.235097780359,5.88164568446251
268,623,268,268,712.794270833333,886.140187377643,6.2029813116435
269.001,693,269,269,702.705729166667,907.893594870681,6.35525516409477
270,647,270,270,702.317708333333,921.002023538101,6.44701416476671
271.001,692,271,271,707.75,886.927193688282,6.20849035581797
272.001,698,272,272,708.526041666667,856.019323860053,5.99213526702037
273.001,696,273,273,708.526041666667,861.00393058306,6.02702751408142
274,627,274,274,705.033854166667,880.785905381824,6.16550133767277
275,604,275,275,707.75,878.520983823552,6.14964688676487
276.001,651,276,276,705.421875,879.856276127928,6.15899393289549
277.001,676,277,277,701.153645833333,885.817561322053,6.20072292925437
278,643,278,278,701.9296875,869.10464019868,6.08373248139076
279.001,607,279,279,708.138020833333,910.509163386428,6.37356414370499
280,643,280,280,708.526041666667,896.785335340002,6.27749734738001
281.001,657,281,281,705.421875,850.996431721903,5.95697502205332
282,680,282,282,710.854166666667,880.557569052724,6.16390298336907
283.001,617,283,283,704.2578125,861.641212599074,6.03148848819352
