Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,
,1,655,655,,
,3,656,656,,
,3,657,657,,
,3,658,658,,
,1,659,659,,
,1,660,660,,
,3,661,661,,
,2,662,662,,
,6,663,663,,
,2,664,664,,
,1,665,665,,
,1,666,666,,
,2,667,667,,
,3,668,668,,
,1,669,669,,
,2,670,670,,
,3,671,671,,
,4,672,672,,
,3,673,673,,
,5,674,674,,
,3,675,675,,
,2,676,676,,
,3,677,677,,
,1,678,678,,
,1,679,679,,
,1,680,680,,
,6,681,681,,
,2,682,682,,
,2,683,683,,
,0,684,684,,
,5,685,685,,
,4,686,686,,
,2,687,687,,
,1,688,688,,
,4,689,689,,
,1,690,690,,
,3,691,691,,
,1,692,692,,
,1,693,693,,
,3,694,694,,
,3,695,695,,
,3,696,696,,
,4,697,697,,
,3,698,698,,
,2,699,699,,
,3,700,700,,
,5,701,701,,
,4,702,702,,
,4,703,703,,
,2,704,704,,
,4,705,705,,
,2,706,706,,
,4,707,707,,
,3,708,708,,
,3,709,709,,
,0,710,710,,
,0,711,711,,
,2,712,712,,
,3,713,713,,
,3,714,714,,
,0,715,715,,
,3,716,716,,
,1,717,717,,
,1,718,718,,
,3,719,719,,
,1,720,720,,
,2,721,721,,
,0,722,722,,
,4,723,723,,
,2,724,724,,
,3,725,725,,
,0,726,726,,
,1,727,727,,
,1,728,728,,
,2,729,729,,
,3,730,730,,
,2,731,731,,
,2,732,732,,
,0,733,733,,
,2,734,734,,
,1,735,735,,
,1,736,736,,
,1,737,737,,
,4,738,738,,
,2,739,739,,
,4,740,740,,
,4,741,741,,
,1,742,742,,
,4,743,743,,
,1,744,744,,
,0,745,745,,
,1,746,746,,
,4,747,747,,
,4,748,748,,
,3,749,749,,
,3,750,750,,
,6,751,751,,
,3,752,752,,
,1,753,753,,
,1,754,754,,
,2,755,755,,
,3,756,756,,
,3,757,757,,
,3,758,758,,
,2,759,759,,
,3,760,760,,
,2,761,761,,
,2,762,762,,
,4,763,763,,
,5,764,764,,
,0,765,765,,
,4,766,766,,
,3,767,767,,
,5,768,768,,
,1,769,769,,
,3,770,770,,
,3,771,771,,
,2,772,772,,
,3,773,773,,
,2,774,774,,
,3,775,775,,
,1,776,776,,
,3,777,777,,
,3,778,778,,
,1,779,779,,
,3,780,780,,
,2,781,781,,
,2,782,782,,
,3,783,783,,
,1,784,784,,
,2,785,785,,
,1,786,786,,
,1,787,787,,
,0,788,788,,
,3,789,789,,
,6,790,790,,
,3,791,791,,
,1,792,792,,
,3,793,793,,
,5,794,794,,
,5,795,795,,
,3,796,796,,
,2,797,797,,
,3,798,798,,
,1,799,799,,
,3,800,800,,
,3,801,801,,
,1,802,802,,
,6,803,803,,
,1,804,804,,
,4,805,805,,
,6,806,806,,
,2,807,807,,
,4,808,808,,
,2,809,809,,
,5,810,810,,
,2,811,811,,
,3,812,812,,
,1,813,813,,
,0,814,814,,
,6,815,815,,
,1,816,816,,
,1,817,817,,
,3,818,818,,
,1,819,819,,
,0,820,820,,
,3,821,821,,
,4,822,822,,
,1,823,823,,
,2,824,824,,
,2,825,825,,
,1,826,826,,
,2,827,827,,
,2,828,828,,
,2,829,829,,
,4,830,830,,
,4,831,831,,
,1,832,832,,
,1,833,833,,
,3,834,834,,
,3,835,835,,
,3,836,836,,
,1,837,837,,
,1,838,838,,
,3,839,839,,
,2,840,840,,
,0,841,841,,
,1,842,842,,
,2,843,843,,
,1,844,844,,
,4,845,845,,
,1,846,846,,
,2,847,847,,
,2,848,848,,
,1,849,849,,
,0,850,850,,
,1,851,851,,
,0,852,852,,
,2,853,853,,
,2,854,854,,
,1,855,855,,
,2,856,856,,
,1,857,857,,
,5,858,858,,
,3,859,859,,
,1,860,860,,
,4,861,861,,
,2,862,862,,
,1,863,863,,
,0,864,864,,
,4,865,865,,
,3,866,866,,
,2,867,867,,
,2,868,868,,
,1,869,869,,
,3,870,870,,
,2,871,871,,
,4,872,872,,
,1,873,873,,
,3,874,874,,
,4,875,875,,
,0,876,876,,
,0,877,877,,
,5,878,878,,
,0,879,879,,
,1,880,880,,
,2,881,881,,
,1,882,882,,
,1,883,883,,
,1,884,884,,
,1,885,885,,
,2,886,886,,
,0,887,887,,
,1,888,888,,
,2,889,889,,
,0,890,890,,
,2,891,891,,
,3,892,892,,
,1,893,893,,
,0,894,894,,
,0,895,895,,
,3,896,896,,
,4,897,897,,
,1,898,898,,
,2,899,899,,
,4,900,900,,
,1,901,901,,
,2,902,902,,
,1,903,903,,
,2,904,904,,
,4,905,905,,
,2,906,906,,
,2,907,907,,
,2,908,908,,
,4,909,909,,
,0,910,910,,
,2,911,911,,
,4,912,912,,
,2,913,913,,
,2,914,914,,
,0,915,915,,
,2,916,916,,
,1,917,917,,
,1,918,918,,
,2,919,919,,
,1,920,920,,
,1,921,921,,
,1,922,922,,
,2,923,923,,
,2,924,924,,
,3,925,925,,
,0,926,926,,
,0,927,927,,
,3,928,928,,
,2,929,929,,
,0,930,930,,
,1,931,931,,
,1,932,932,,
,1,933,933,,
,3,934,934,,
,3,935,935,,
,4,936,936,,
,3,937,937,,
,1,938,938,,
,1,939,939,,
,4,940,940,,
,2,941,941,,
,2,942,942,,
,1,943,943,,
,0,944,944,,
,4,945,945,,
,1,946,946,,
,3,947,947,,
,1,948,948,,
,2,949,949,,
,2,950,950,,
,2,951,951,,
,1,952,952,,
,1,953,953,,
,1,954,954,,
,3,955,955,,
,1,956,956,,
,4,957,957,,
,4,958,958,,
,1,959,959,,
