Time (s),Events N,Channel n,Energy E / keV,Rate R / 1/s,Angle
548,,,,26.64485637,45
549,,,,30.01725091,45
550.001,,,,29.98202411,45
551,,,,24.43246982,45
552,,,,29.00738238,45
553.001,,,,26.58007763,45
554.001,,,,34.0082504,45
555,,,,27.06976962,45
555.999,,,,33.29563528,45
557.001,,,,32.17925576,45
558,,,,19.02328831,45
559.001,,,,27.76757782,45
560,,,,33.28989741,45
561.001,,,,22.00163472,45
562.001,,,,30.05333867,45
563,,,,31.06780949,45
564,,,,26.97778919,45
565,,,,34.05877523,45
566,,,,22.20103996,45
567,,,,33.06644371,45
568.001,,,,35.50053761,45
569.001,,,,29.0091669,45
570,,,,41.07333733,45
571.001,,,,25.55210602,45
572,,,,29.00305112,45
573,,,,36.65211171,45
574,,,,32.1997325,45
575,,,,32.01349369,45
576.001,,,,36.58584042,45
577,,,,17.99939882,45
578.001,,,,29.07664312,45
579.001,,,,21.08054198,45
580.001,,,,32.21287691,45
581,,,,19.97636596,45
582.001,,,,26.03360418,45
583,,,,32.02156012,45
584.001,,,,22.96434097,45
585,,,,40.07516498,45
586.001,,,,22.2201755,45
587.001,,,,34.42129803,45
588,,,,24.39813137,45
589.001,,,,32.00204493,45
590,,,,27.07740618,45
591.001,,,,25.53483546,45
592,,,,29.98154636,45
593.001,,,,41.95487753,45
594,,,,43.06745656,45
595,,,,28.88157543,45
596,,,,28.9906737,45
597.001,,,,30.98687396,45
598,,,,24.44098469,45
599.001,,,,16.00365844,45
600,,,,32.19593603,45
