Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Dead time t / %,Voltage U / V
,22,577,577,,,
,44,578,578,,,
,26,579,579,,,
,20,580,580,,,
,28,581,581,,,
,31,582,582,,,
,31,583,583,,,
,22,584,584,,,
,28,585,585,,,
,19,586,586,,,
,26,587,587,,,
,26,588,588,,,
,28,589,589,,,
,34,590,590,,,
,22,591,591,,,
,32,592,592,,,
,29,593,593,,,
,22,594,594,,,
,28,595,595,,,
,29,596,596,,,
,28,597,597,,,
,30,598,598,,,
,28,599,599,,,
,25,600,600,,,
,23,601,601,,,
,27,602,602,,,
,33,603,603,,,
,32,604,604,,,
,31,605,605,,,
,30,606,606,,,
,27,607,607,,,
,31,608,608,,,
,41,609,609,,,
,44,610,610,,,
,28,611,611,,,
,34,612,612,,,
,35,613,613,,,
,30,614,614,,,
,38,615,615,,,
,43,616,616,,,
,32,617,617,,,
,28,618,618,,,
,45,619,619,,,
,44,620,620,,,
,40,621,621,,,
,40,622,622,,,
,35,623,623,,,
,41,624,624,,,
,67,625,625,,,
,47,626,626,,,
,49,627,627,,,
,51,628,628,,,
,51,629,629,,,
,55,630,630,,,
,53,631,631,,,
,59,632,632,,,
,63,633,633,,,
,56,634,634,,,
,74,635,635,,,
,76,636,636,,,
,69,637,637,,,
,111,638,638,,,
,96,639,639,,,
,96,640,640,,,
,122,641,641,,,
,103,642,642,,,
,97,643,643,,,
,131,644,644,,,
,151,645,645,,,
,133,646,646,,,
,125,647,647,,,
,120,648,648,,,
,130,649,649,,,
,163,650,650,,,
,159,651,651,,,
,134,652,652,,,
,198,653,653,,,
,185,654,654,,,
,186,655,655,,,
,175,656,656,,,
,189,657,657,,,
,220,658,658,,,
,200,659,659,,,
,221,660,660,,,
,203,661,661,,,
,233,662,662,,,
,258,663,663,,,
,236,664,664,,,
,250,665,665,,,
,262,666,666,,,
,273,667,667,,,
,271,668,668,,,
,294,669,669,,,
,288,670,670,,,
,293,671,671,,,
,307,672,672,,,
,281,673,673,,,
,310,674,674,,,
,317,675,675,,,
,340,676,676,,,
,325,677,677,,,
,317,678,678,,,
,327,679,679,,,
,270,680,680,,,
,322,681,681,,,
,297,682,682,,,
,303,683,683,,,
,308,684,684,,,
,287,685,685,,,
,305,686,686,,,
,295,687,687,,,
,312,688,688,,,
,275,689,689,,,
,298,690,690,,,
,287,691,691,,,
,285,692,692,,,
,296,693,693,,,
,273,694,694,,,
,266,695,695,,,
,267,696,696,,,
,260,697,697,,,
,249,698,698,,,
,245,699,699,,,
,201,700,700,,,
,219,701,701,,,
,255,702,702,,,
,197,703,703,,,
,211,704,704,,,
,206,705,705,,,
,188,706,706,,,
,198,707,707,,,
,165,708,708,,,
,174,709,709,,,
,180,710,710,,,
,140,711,711,,,
,143,712,712,,,
,134,713,713,,,
,125,714,714,,,
,108,715,715,,,
,113,716,716,,,
,89,717,717,,,
,97,718,718,,,
,101,719,719,,,
,89,720,720,,,
,96,721,721,,,
,79,722,722,,,
,63,723,723,,,
,66,724,724,,,
,56,725,725,,,
,57,726,726,,,
,55,727,727,,,
,44,728,728,,,
,36,729,729,,,
,34,730,730,,,
,34,731,731,,,
,28,732,732,,,
,27,733,733,,,
,25,734,734,,,
,25,735,735,,,
,25,736,736,,,
,17,737,737,,,
,7,738,738,,,
,22,739,739,,,
,21,740,740,,,
,11,741,741,,,
,16,742,742,,,
,13,743,743,,,
,10,744,744,,,
,15,745,745,,,
,7,746,746,,,
,6,747,747,,,
,10,748,748,,,
,8,749,749,,,
,6,750,750,,,
,4,751,751,,,
,1,752,752,,,
,2,753,753,,,
,3,754,754,,,
,2,755,755,,,
,4,756,756,,,
,5,757,757,,,
,0,758,758,,,
,6,759,759,,,
,2,760,760,,,
,1,761,761,,,
,1,762,762,,,
,1,763,763,,,
,1,764,764,,,
,1,765,765,,,
,2,766,766,,,
,0,767,767,,,
,1,768,768,,,
,1,769,769,,,
,0,770,770,,,
,0,771,771,,,
,0,772,772,,,
,2,773,773,,,
,1,774,774,,,
,3,775,775,,,
,0,776,776,,,
,0,777,777,,,
,0,778,778,,,
,2,779,779,,,
,0,780,780,,,
,0,781,781,,,
,0,782,782,,,
,1,783,783,,,
,0,784,784,,,
,0,785,785,,,
,0,786,786,,,
,0,787,787,,,
,0,788,788,,,
,0,789,789,,,
,0,790,790,,,
,0,791,791,,,
,1,792,792,,,
,0,793,793,,,
,2,794,794,,,
,0,795,795,,,
,0,796,796,,,
,0,797,797,,,
,2,798,798,,,
,0,799,799,,,
,0,800,800,,,
,1,801,801,,,
,0,802,802,,,
,1,803,803,,,
,2,804,804,,,
,1,805,805,,,
,0,806,806,,,
,1,807,807,,,
,0,808,808,,,
,3,809,809,,,
,0,810,810,,,
,0,811,811,,,
,0,812,812,,,
,0,813,813,,,
,0,814,814,,,
,0,815,815,,,
,1,816,816,,,
,0,817,817,,,
,0,818,818,,,
,0,819,819,,,
,1,820,820,,,
,0,821,821,,,
,0,822,822,,,
,1,823,823,,,
,0,824,824,,,
,0,825,825,,,
,1,826,826,,,
,0,827,827,,,
,0,828,828,,,
,3,829,829,,,
,0,830,830,,,
,0,831,831,,,
,0,832,832,,,
,0,833,833,,,
,0,834,834,,,
,1,835,835,,,
,1,836,836,,,
,0,837,837,,,
,0,838,838,,,
,0,839,839,,,
,0,840,840,,,
,1,841,841,,,
,1,842,842,,,
,0,843,843,,,
,0,844,844,,,
,0,845,845,,,
,1,846,846,,,
,0,847,847,,,
,1,848,848,,,
,0,849,849,,,
,0,850,850,,,
,1,851,851,,,
,0,852,852,,,
,0,853,853,,,
,0,854,854,,,
,0,855,855,,,
,0,856,856,,,
,0,857,857,,,
,0,858,858,,,
,0,859,859,,,
,0,860,860,,,
,1,861,861,,,
,0,862,862,,,
,0,863,863,,,
,1,864,864,,,
,0,865,865,,,
,0,866,866,,,
,1,867,867,,,
,0,868,868,,,
,0,869,869,,,
,0,870,870,,,
,0,871,871,,,
,1,872,872,,,
,0,873,873,,,
,0,874,874,,,
,0,875,875,,,
,0,876,876,,,
,0,877,877,,,
,0,878,878,,,
,0,879,879,,,
,0,880,880,,,
,0,881,881,,,
,0,882,882,,,
,1,883,883,,,
,0,884,884,,,
,1,885,885,,,
,0,886,886,,,
,0,887,887,,,
,0,888,888,,,
,0,889,889,,,
,0,890,890,,,
,0,891,891,,,
,0,892,892,,,
,1,893,893,,,
,0,894,894,,,
,0,895,895,,,
,1,896,896,,,
,1,897,897,,,
,1,898,898,,,
,1,899,899,,,
,0,900,900,,,
,0,901,901,,,
,0,902,902,,,
,1,903,903,,,
,0,904,904,,,
,0,905,905,,,
,0,906,906,,,
,0,907,907,,,
,0,908,908,,,
,0,909,909,,,
,0,910,910,,,
,0,911,911,,,
,1,912,912,,,
,0,913,913,,,
,0,914,914,,,
,0,915,915,,,
,3,916,916,,,
,0,917,917,,,
,0,918,918,,,
,1,919,919,,,
,0,920,920,,,
,1,921,921,,,
,1,922,922,,,
,0,923,923,,,
,0,924,924,,,
,0,925,925,,,
,0,926,926,,,
,0,927,927,,,
,0,928,928,,,
,0,929,929,,,
,2,930,930,,,
,0,931,931,,,
,0,932,932,,,
,0,933,933,,,
,0,934,934,,,
,2,935,935,,,
,0,936,936,,,
,0,937,937,,,
,1,938,938,,,
,0,939,939,,,
,1,940,940,,,
,0,941,941,,,
,1,942,942,,,
,3,943,943,,,
,0,944,944,,,
,0,945,945,,,
,0,946,946,,,
,0,947,947,,,
,0,948,948,,,
,0,949,949,,,
,1,950,950,,,
,0,951,951,,,
,0,952,952,,,
,0,953,953,,,
,0,954,954,,,
,0,955,955,,,
,0,956,956,,,
,0,957,957,,,
,0,958,958,,,
,0,959,959,,,
,0,960,960,,,
,0,961,961,,,
,1,962,962,,,
,0,963,963,,,
,0,964,964,,,
,0,965,965,,,
,1,966,966,,,
,1,967,967,,,
,0,968,968,,,
,0,969,969,,,
,0,970,970,,,
,0,971,971,,,
,0,972,972,,,
,0,973,973,,,
,0,974,974,,,
,0,975,975,,,
,1,976,976,,,
,0,977,977,,,
,0,978,978,,,
,0,979,979,,,
,0,980,980,,,
,0,981,981,,,
,0,982,982,,,
,0,983,983,,,
,1,984,984,,,
,1,985,985,,,
,1,986,986,,,
,0,987,987,,,
,0,988,988,,,
,0,989,989,,,
,0,990,990,,,
,0,991,991,,,
,0,992,992,,,
,0,993,993,,,
,0,994,994,,,
,1,995,995,,,
,0,996,996,,,
,1,997,997,,,
,0,998,998,,,
,1,999,999,,,
,1,1000,1000,,,
,0,1001,1001,,,
,0,1002,1002,,,
,0,1003,1003,,,
,0,1004,1004,,,
,0,1005,1005,,,
,0,1006,1006,,,
,0,1007,1007,,,
,0,1008,1008,,,
,2,1009,1009,,,
,0,1010,1010,,,
,0,1011,1011,,,
,0,1012,1012,,,
,0,1013,1013,,,
,0,1014,1014,,,
,0,1015,1015,,,
,0,1016,1016,,,
,0,1017,1017,,,
,0,1018,1018,,,
,0,1019,1019,,,
,0,1020,1020,,,
,1,1021,1021,,,
,0,1022,1022,,,
,0,1023,1023,,,
